Ïß¶ÎÊ÷20Ìâ	http://acm.hust.edu.cn/vjudge/contest/view.action?cid=107917#overview
Problem A	POJ 3468	A Simple Problem with Integers
Problem B	POJ 2299	Ultra-QuickSort
Problem C	POJ 2352	Stars
Problem D	POJ 2155	Matrix
Problem E	POJ 2777	Count Color
Problem F	POJ 2823	Sliding Window
Problem G	POJ 2528	Mayor's posters
Problem H	POJ 3264	Balanced Lineup
Problem I	POJ 3277	City Horizon
Problem J	POJ 1151	Atlantis
Problem K	POJ 1389	Area of Simple Polygons
Problem L	POJ 1823	Hotel
Problem M	POJ 2761	Feed the dogs
Problem N	POJ 2828	Buy Tickets
Problem O	POJ 1177	Picture
Problem P	POJ 2886	Who Gets the Most Candies?
Problem Q	POJ 2482	Stars in Your Window
Problem R	POJ 3667	Hotel
Problem S	POJ 3695	Rectangles
