Ê÷ÐÎDP
Problem A    HDU 1520    Anniversary party
Problem B    HDU 2196    Computer
Problem C    CodeForces 219D    Choosing Capital for Treeland
Problem D    POJ 1741    Tree
Problem E    POJ 2152    Fire
Problem F    POJ 3162    Walking Race
Problem G    POJ 1155    TELE
Problem H    HDU 1011    Starship Troopers
Problem I    POJ 1947    Rebuilding Roads
Problem J    HDU 1561    The more, The Better
Problem K    HDU 4003    Find Metal Mineral
Problem L    HDU 4276    The Ghost Blows Light
Problem M    HDU 3586    Information Disturbing
Problem N    POJ 3107    Godfather
Problem O    POJ 2378    Tree Cutting
Problem P    POJ 1655    Balancing Act
Problem Q    POJ 3140    Contestants Division
Problem R    POJ 2486    Apple Tree
Problem S    POJ 3345    Bribing FIPA
Problem T    HDU 4044    GeoDefense
