Ê÷ÐÎDP
Problem A    HDU 1520    Anniversary party
Problem B    HDU 2196    Computer
Problem C    CodeForces 219D    Choosing Capital for Treeland
Problem D    POJ 1741    Tree
Problem E    POJ 2152    Fire
Problem F    POJ 3162    Walking Race
Problem G    POJ 1155    TELE
Problem H    HDU 1011    Starship Troopers
Problem I    POJ 1947    Rebuilding Roads
Problem J    HDU 1561    The more, The Better
Problem K    HDU 4003    Find Metal Mineral
Problem L    ZOJ 3627    Treasure Hunt II
Problem M    HDU 4276    The Ghost Blows Light
Problem N    HDU 3586    Information Disturbing
Problem O    POJ 3107    Godfather
Problem P    POJ 2378    Tree Cutting
Problem Q    POJ 1655    Balancing Act
Problem R    POJ 3140    Contestants Division
